region,area,population,coordinates,distance_from_center
Vitosa,s. Vladaa,3455.0,"[42.634631, 23.202339]",12.021064487957833
Pancarevo,s. Dolni Lozen,2313.0,"[42.608911, 23.497025]",17.40563376053453
Isk_r,"s. Krivina, m. Livadeto",0.0,"[42.690603, 23.452831]",10.742171657105915
Kremikovzi,m. Bogrovski pesozi,0.0,"[42.710647, 23.453199]",10.837441083850518
Lozenez,kv. Vitosa - Lozenez,4132.0,"[42.657052, 23.336436]",4.677093594832827
Studentska,m. Vitosa - VEZ Simeonovo,2981.0,"[42.643231, 23.337539]",6.193214855984973
Kremikovzi,"Benkovski, m. Mogilata",0.0,"[42.734552, 23.377044]",6.098988655568306
Novi Isk_r,m. Branisko loze,0.0,"[42.835896, 23.371392]",15.891680293878633
Vitosa,"s. Vladaa, m. Kraise",0.0,"[42.637288, 23.170854]",14.047646521340003
Banka,"s. Ivanane, m. Bivolarnik",4.0,"[42.710669, 23.175609]",12.028037583933031
Banka,"gr. Banka, m. M_rtvako",0.0,"[42.696529, 23.102142]",17.947073665958182
Pancarevo,"kv. D. Lozen, m. Barite",0.0,"[42.636613, 23.534315]",18.66042101508539
Triadiza,NDK - plosad B_lgaria,189.0,"[42.681843, 23.316735]",1.8105926648181738
Krasno selo,ZGC Zona B5-A,1942.0,"[42.696709, 23.315255]",0.5418756725918992
Isk_r,j.k. Drujba 2 - zapad,43862.0,"[42.654495, 23.400975]",8.064475038649753
Sredez,ZGC Zona G12 - ug,1714.0,"[42.692527, 23.344436]",1.9416422901882415
Kremikovzi,s. Botunez,4251.0,"[42.743562, 23.512853]",16.423488650683193
Novi Isk_r,"s. Cepinzi, m. Merata",0.0,"[42.741492, 23.409348]",8.655762076970653
Lulin,kv. Lulin - razsirenie - zapad,1119.0,"[42.733435, 23.250445]",7.051110517602088
Sredez / Oborise,ZGC Zona A - sever,360.0,"[42.696255, 23.330108]",0.7021030617185076
Ovca Kupel,"s. Ivanane, m. Tatare",0.0,"[42.695087, 23.177334]",11.80544227920339
Novi Isk_r,v.z. Koria,0.0,"[42.833708, 23.409206]",16.72354426696379
Nadejda / Vr_bniza,"j.k. Nadejda 4, j.k. Vr_bniza 2B",6032.0,"[42.738286, 23.298115]",4.908130006965301
Lulin,j.k. Lulin - 8 mr,10409.0,"[42.72387, 23.267324]",5.313844149743432
Banka,"gr. Banka, m. Lednik",0.0,"[42.709975, 23.206261]",9.534843973114473
Kremikovzi,m. Batarea,158.0,"[42.709032, 23.430865]",9.005117933412292
Oborise,m. Poduane - Zent_r,8152.0,"[42.6969, 23.354681]",2.6930091081191545
Krasno selo,ZGC m. Bukata,3087.0,"[42.689452, 23.314026]",1.113567232433573
Novi Isk_r,"gr. Novi Isk_r, m. Virovete",59.0,"[42.812608, 23.347025]",12.942370193151957
Pancarevo,m. Azovir Isk_r,0.0,"[42.521912, 23.526531]",25.747963087127882
Pancarevo,Lozenska planina,5.0,"[42.604434, 23.431307]",13.70571594261735
Izgrev,j.k. Izgrev,2416.0,"[42.667415, 23.353224]",4.238393376168148
Krasno selo,j.k. Borovo,16957.0,"[42.672014, 23.29441]",3.626669794127939
Studentska,Park Studentski,0.0,"[42.656443, 23.353722]",5.280424973997554
Vitosa,Park Kambanite - r-n Vitosa,0.0,"[42.621686, 23.381604]",9.767708883588318
Pancarevo,v.z. Gradise,120.0,"[42.605777, 23.397544]",11.95459101445626
Serdika,ZGC Zona Zentralna gara,726.0,"[42.712741, 23.31945]",1.6825305809582567
Pancarevo,Zona za otdih Sismanovski manastir,0.0,"[42.439876, 23.616315]",37.46755845953345
Pancarevo,v.z. Tatarski brod,0.0,"[42.437139, 23.548392]",34.408755916935256
Pancarevo,Manastir Sv. Ilia,0.0,"[42.479225, 23.614468]",34.12400383078395
Pancarevo,"Pancarevo, v.z. S_rkelovo gnezdo",0.0,"[42.47964, 23.548728]",30.54885331577534
Krasno selo,j.k. Krasno selo,11510.0,"[42.678196, 23.285623]",3.6636927327392566
Novi Isk_r,s. Svetovracene - razsirenie,0.0,"[42.783792, 23.409677]",11.96657514571403
Pancarevo,m. Pasarel,0.0,"[42.489315, 23.528882]",28.712952391528532
Pancarevo,"s. Jelezniza, v.z. Elata - Kosarite",0.0,"[42.508069, 23.375532]",21.541068235174027
Pancarevo,"s. D. Lozen, m. Kriva reka",2.0,"[42.631082, 23.510281]",17.103272402590576
Pancarevo,s. Plana,5.0,"[42.497304, 23.403181]",23.25907787341273
Pancarevo,"s. Jelezniza, v.z. Zvezdana (Z_rkvise)",0.0,"[42.499412, 23.366863]",22.356182092638093
Vitosa,kv. Pavlovo - B_kston,11359.0,"[42.669564, 23.276723]",4.8305926746444285
Krasno selo,j.k. Lagera,13372.0,"[42.686857, 23.299958]",2.150739627485352
Pancarevo,v.z. Bistriza - Siranata,0.0,"[42.608902, 23.373802]",10.75294127820185
Pancarevo,"s. G. Lozen, v.z. Causiza",0.0,"[42.612172, 23.475147]",15.742510368651997
Poduene,j.k. Suhata reka - sever,2170.0,"[42.69503, 23.374524]",4.323442162448275
Pancarevo,Pancarevo - Ceresovi gradini iztok,82.0,"[42.622299, 23.409326]",11.026786611464573
Sredez,ZGC Zona G8 - Sredez,5438.0,"[42.686409, 23.330965]",1.4646182827929524
V_zrajdane,ZGC Zona B19+,3428.0,"[42.701039, 23.303402]",1.5442514822242066
Lozenez,m. Lozenez cast 3,10886.0,"[42.682503, 23.335645]",2.036541262601995
Pancarevo,j.g. Sofia - vilidj,4.0,"[42.618943, 23.389635]",10.36913308916076
Vitosa,v.z. Malinova dolina - iztok,200.0,"[42.621846, 23.377706]",9.596295893707843
Pancarevo,"s. German, m. Stariat most",2.0,"[42.626523, 23.423122]",11.461256300896043
Ovca Kupel,m. Kluncov rid,0.0,"[42.687165, 23.186643]",11.103808278481333
Ilinden,j.k. Sveta Troiza,8602.0,"[42.713149, 23.299022]",2.52927746082099
Pancarevo,s. Dolni Pasarel,1194.0,"[42.553352, 23.49567]",21.4506571850016
Triadiza,j.k. Kr_stova vada - zapad,1236.0,"[42.656818, 23.312973]",4.6025358262088885
Sredez,ZGC Zona G8,5147.0,"[42.694745, 23.322108]",0.3303531169744802
Krasno selo,ZGC m. Evrejski grobisa,502.0,"[42.692273, 23.310447]",1.103353958563287
Banka,"s. Ivanane, m. Ravnise",1.0,"[42.702724, 23.197271]",10.187212937612601
Serdika,j.k. Fondovi jilisa,6086.0,"[42.714099, 23.3075]",2.1629844798977933
Pancarevo,SOP Lozen Ikonomiceska zona - ug,7.0,"[42.630637, 23.469859]",14.2225478957002
Pancarevo,m. Vrana - Lozen - Tri_g_lnika,0.0,"[42.62922, 23.440511]",12.340728288649734
Isk_r,"s. Busmanzi, m. Prez Isk_r",0.0,"[42.667993, 23.447179]",10.772175701243372
Novi Isk_r,"s. Podgumer, stopanski dvor",0.0,"[42.799034, 23.399674]",12.940030618806379
Mladost,kv. Gorublane,4739.0,"[42.641553, 23.405564]",9.270677168356706
Isk_r,"Vrana, m. Limonk_oviza",0.0,"[42.652957, 23.454261]",11.92126545968169
Vr_bniza,"s. Voluak, m. Vlaska reka",0.0,"[42.770388, 23.211661]",12.089649569241407
Pancarevo,v.z. Kokalane,0.0,"[42.578553, 23.424648]",15.696756607884993
Sredez,Borisova gradina - sever,12.0,"[42.688541, 23.333963]",1.4265534234634134
Pancarevo,"s. Lozen, m. B_rdo - Sv. Dimit_r",0.0,"[42.611343, 23.452671]",14.382371450627573
Poduene,j.k. Levski - zona V,17265.0,"[42.710689, 23.383805]",5.272591530800316
Novi Isk_r,kv. Celopecene - m. Zavoa zem. zema,0.0,"[42.730221, 23.462478]",12.052975320836804
Lulin,j.k. Lulin - 4 mr,12580.0,"[42.71596, 23.25112]",6.117461185694981
Kremikovzi,"kv. Celopecene, m. Devo most",0.0,"[42.748379, 23.484518]",14.44126881602442
Novi Isk_r,"s. Lokorsko, m. Razpake",0.0,"[42.786591, 23.440705]",13.858650771215515
Pancarevo,v.z. Dolni Pasarel,0.0,"[42.558738, 23.480344]",20.17758287837405
Pancarevo,m. Dolni Lozen - m. BCK,5.0,"[42.607159, 23.522402]",19.252341463828778
Pancarevo,s. Jelezniza,1580.0,"[42.541527, 23.365181]",17.72603463500959
Mladost,"NPZ Iztok, m. K_ro",0.0,"[42.657066, 23.384812]",6.855561742618212
Pancarevo,s. Lozen,3180.0,"[42.610692, 23.477489]",15.994682191203506
Pancarevo,"s. Bistriza, j.g. Planinski gledki",0.0,"[42.576186, 23.353905]",13.765882302241572
Pancarevo,"Pancarevo, v.z. Z_rnokos",0.0,"[42.582727, 23.396985]",14.189033329462728
Triadiza,k-s Medizinska akademia,582.0,"[42.687004, 23.310415]",1.5077117308825119
Triadiza,j.k. Goze Delcev,15030.0,"[42.65783, 23.302827]",4.695785988708578
Sredez,3-ta izv_ngradska cast,5394.0,"[42.6835, 23.347643]",2.640928548351536
Pancarevo,s. Pancarevo,1895.0,"[42.588133, 23.419749]",14.584251184971048
Vitosa,m. Dragalevzi - razsirenie - sever,286.0,"[42.639832, 23.317184]",6.4458732739701965
Vitosa,v.z. Kinozent_r cast 3,296.0,"[42.648221, 23.296533]",5.875686533871013
Vr_bniza,"s. Voluak, m. Poleto 2",0.0,"[42.787949, 23.226488]",12.696836444859459
Pancarevo,"s. Bistriza, m. Ciproviza",0.0,"[42.600541, 23.377066]",11.713119310278675
Pancarevo,s. Kokalane,1702.0,"[42.574731, 23.414938]",15.655446448554597
Pancarevo,v.z. Bistriza - Zonkina mahala,247.0,"[42.586989, 23.349688]",12.521298909591891
Pancarevo,s. Bistriza,3655.0,"[42.59239, 23.369144]",12.335400264093956
Pancarevo,Zona za otdih Pancarevo - plaja,78.0,"[42.607345, 23.40571]",12.169747102468877
Pancarevo,m.  Colaniza - Cetarl_ka,0.0,"[42.606907, 23.547755]",21.06102246232209
Triadiza,j.k. Strelbise,16912.0,"[42.674691, 23.303812]",2.949049389505137
Pancarevo,Bistriza - rezervata,0.0,"[42.60745, 23.360283]",10.519011251563857
Pancarevo,m. Sr_bski azmak,0.0,"[42.624408, 23.514978]",17.778723786044683
Pancarevo,"German, m. Samaka",0.0,"[42.617292, 23.430726]",12.624142435823673
Pancarevo,"s. Lozen, m. Orlova krusa",0.0,"[42.619501, 23.443472]",13.21730558842438
Sredez,ZGC Zoni G10 i cast ot A,4089.0,"[42.693123, 23.334375]",1.1509595383535487
Pancarevo,s. German,2324.0,"[42.620523, 23.419333]",11.718892531668041
Pancarevo,"s. Pancarevo, m. Detski grad",12.0,"[42.622856, 23.394196]",10.215922671403757
Vitosa,Park Botaniceska gradina,3.0,"[42.647289, 23.298851]",5.910125780068794
Kremikovzi,"s. Ana, m. Sadinata",0.0,"[42.72398, 23.587018]",21.86995511038324
Vitosa,s. M_rcaevo,985.0,"[42.608776, 23.170799]",15.816623610113133
Lozenez,Borisova gradina - Seminariata,71.0,"[42.67747, 23.341746]",2.7810758356184655
Krasna polana  / Ovca Kupel,j.k. Ovca Kupel - 1,1476.0,"[42.695466, 23.277057]",3.66059969862581
Pancarevo,Park Kambanite - r-n Pancarevo,0.0,"[42.622877, 23.393646]",10.18799997196834
Pancarevo,"s. G. Lozen, m. Viso",103.0,"[42.633313, 23.448089]",12.569031340705195
Pancarevo,v.z. Vrana-German,32.0,"[42.630502, 23.435741]",11.946463687611141
Vitosa,kv. Simeonovo,4059.0,"[42.626438, 23.350154]",8.257855957533389
Mladost,j.k. Mladost 4,17332.0,"[42.635374, 23.380503]",8.432996478377778
Sredez / Oborise,ZGC Zona A - iztok,762.0,"[42.69334, 23.334433]",1.14477554624165
Mladost / Pancarevo,Hidropark Isk_r - Gorublane,15.0,"[42.636547, 23.422005]",10.65090272526901
Kremikovzi,Rudnik Kremikovzi,0.0,"[42.789004, 23.484165]",16.702782333125832
Vitosa,kv. Dragalevzi,5048.0,"[42.634463, 23.310346]",7.093584510485203
Isk_r,Park - muzej Vrana,0.0,"[42.650317, 23.434814]",10.639988128868994
Studentska,j.k. Malinova dolina - zapad,338.0,"[42.642671, 23.337738]",6.2575096062001805
Mladost,Iztocen Park Mladost,445.0,"[42.646151, 23.385389]",7.741694805892582
Mladost,j.k. Mladost 2,14790.0,"[42.648082, 23.376894]",7.125488681557448
Studentska,j.k. Studentski grad - ug,1831.0,"[42.651979, 23.347287]",5.496439567616044
Vitosa,Nazionalen Kinozent_r Sofia - Boana,28.0,"[42.642497, 23.287298]",6.75397917285247
Vitosa,"Dragalevzi, v.s. Miramonte",330.0,"[42.642797, 23.309952]",6.181055436823139
Mladost,j.k. Mladost 3,29786.0,"[42.647088, 23.380817]",7.416183527916587
Pancarevo,SOP NPZ Kazicene,33.0,"[42.637809, 23.454678]",12.746921219491266
Mladost / Studentska,Park V_rtopo - ug,26.0,"[42.649678, 23.367655]",6.5272409441579695
Isk_r,"s. Kazicene, m. Limonk_oviza",0.0,"[42.653497, 23.452071]",11.733484003646891
Studentska,j.k. D_rveniza,13749.0,"[42.658661, 23.36427]",5.5616349869451795
Isk_r,j.k. Drujba 2 - iztok,3904.0,"[42.637078, 23.417064]",10.304445785948097
Mladost,j.k. Mladost 1A,6704.0,"[42.647652, 23.385873]",7.645969373549745
Kremikovzi,"Celopecene, m. Lenisata",0.0,"[42.725729, 23.453524]",11.208605166433331
Vitosa,kv. Boana,3123.0,"[42.650144, 23.26071]",7.270929007396565
Vitosa,Boanski grobisa,3.0,"[42.646976, 23.283513]",6.4488553810471885
Triadiza,Ujen park cast 3,572.0,"[42.656913, 23.306483]",4.704240307457712
Vitosa,v.z. Cernia kos,0.0,"[42.65384, 23.21014]",10.345743987860626
V_zrajdane,j.k. Serdika,3892.0,"[42.692138, 23.304325]",1.552444563410075
Studentska,j.k. Studentski grad - zapad,12280.0,"[42.656764, 23.34946]",5.084927884735551
Isk_r,Hidropark Isk_r - m. K_mping Vrana,5.0,"[42.652908, 23.428476]",10.0470043029936
Vitosa,v.z. Belovodski p_t,520.0,"[42.654576, 23.249001]",7.639615462646181
Vitosa,Rezidenzia Boana,0.0,"[42.657567, 23.272293]",6.021794954607496
Isk_r,NPZ Isk_r - ug,881.0,"[42.664337, 23.414433]",8.436260182491973
Lozenez,m. Zoopark,135.0,"[42.660423, 23.336794]",4.324120061698068
Vitosa,Knajevska gora,19.0,"[42.659154, 23.24287]",7.742731885034804
Studentska,j.k. Studentski grad - sever,8600.0,"[42.661982, 23.358722]",4.991374019558867
Mladost,j.k. Mladost 1,21246.0,"[42.666463, 23.371321]",5.337539410462996
Lozenez,kv. Hladilnika,4252.0,"[42.659304, 23.316492]",4.291432032477943
Banka,"kv. Mihajlovo, m. Gaber",0.0,"[42.68622, 23.128646]",15.833511575858436
Ovca Kupel,v.z. Lulin,0.0,"[42.655044, 23.209713]",10.31421081189231
Izgrev,Borisova gradina - Loven park,11.0,"[42.66574, 23.342559]",3.940437919360944
Izgrev,j.k. Dianabad,13021.0,"[42.663327, 23.357508]",4.812256293258354
Studentska,j.k. Musageniza,2438.0,"[42.658688, 23.364322]",5.561950340631934
Vitosa,Vojskovi rajon Gorna Bana,69.0,"[42.669987, 23.241714]",7.231461900916283
Vitosa,"kv. Knajevo, v.z. Kiliite",2280.0,"[42.660963, 23.236736]",8.061160779224362
Mladost / Studentska,Park V_rtopo - sever,1276.0,"[42.668246, 23.368795]",5.051723889515004
Vitosa,m. G_rdova glava,4550.0,"[42.658984, 23.26814]",6.14330817176772
Isk_r / Pancarevo,PZ Kazicene - zapad / kv. Vidnite,325.0,"[42.671421, 23.454864]",11.266593538214467
Lozenez,Borisova gradina - Pogrebite cast 1,15.0,"[42.670978, 23.337657]",3.243919400313553
Isk_r,j.k. Drujba 1 - zapad,1553.0,"[42.668406, 23.392592]",6.644485677823713
V_zrajdane,ZGC Zona B2-3+,4183.0,"[42.698051, 23.321866]",0.039811349888543235
Isk_r,"kv. Abdoviza, kv. Dimit_r Milenkov",1890.0,"[42.669988, 23.423672]",8.883173020268565
Lozenez,NPZ Hladilnika,342.0,"[42.661087, 23.328022]",4.103819470078998
Isk_r,j.k. Drujba 1 - iztok,6237.0,"[42.666866, 23.407538]",7.806268944532958
Poduene,kv. Vasil Levski - sever,2638.0,"[42.706957, 23.376054]",4.555526681141526
Kremikovzi,kv. Vrajdebna,4007.0,"[42.716696, 23.409651]",7.486674623949567
Izgrev,j.k. Iztok - iztok,12766.0,"[42.668353, 23.36865]",5.034983694324035
Ovca Kupel,v.z. Gorna Bana - Domuz dere,5.0,"[42.669849, 23.240821]",7.304061362333658
Triadiza,Ujen park cast 2,190.0,"[42.682011, 23.320983]",1.7460959578716042
Krasno selo,bul. 9-ti Septemvri,0.0,"[42.690209, 23.306416]",1.5047427018279205
Krasno selo,j.k. Slavia,2686.0,"[42.681155, 23.280659]",3.8292797182911698
Triadiza,Ujen park,969.0,"[42.671301, 23.310394]",3.079024731365364
Ovca Kupel,kv. Ovca Kupel - ug,4890.0,"[42.673039, 23.270796]",4.986529357060458
Lozenez,m. Lozenez cast 2 i 3 - ug,10769.0,"[42.671813, 23.335174]",3.0810781054094223
Slatina,j.k. Avorov,23.0,"[42.678706, 23.354666]",3.420877895676311
Triadiza,j.k. Ivan Vazov,7235.0,"[42.681608, 23.313255]",1.9196308508107356
Isk_r,s. Busmanzi,1699.0,"[42.681914, 23.428254]",8.8804293823997
Lozenez,m. Lozenez cast 2 - sever,3087.0,"[42.676334, 23.333735]",2.570361965949623
Slatina,m. BAN 4km,4808.0,"[42.676914, 23.369106]",4.508739563587743
Izgrev,Borisova gradina - ug,0.0,"[42.679799, 23.352581]",3.2117825136790628
Ovca Kupel,m. Medizinski zent_r Suhodol,0.0,"[42.678221, 23.194822]",10.597874190111211
Slatina,Park Geo Milev,150.0,"[42.688375, 23.357672]",3.1140153108668476
Krasno selo,j.k. Hipodruma,10831.0,"[42.684445, 23.301052]",2.243715931264285
Slatina,j.k. Geo Milev,16295.0,"[42.686618, 23.355976]",3.0571323200897624
Slatina,j.k. Hristo Smirnenski,18364.0,"[42.69292, 23.368127]",3.8276299629753106
